Username,Netflix_Watch_Time,PrimeVideo_Watch_Time,Hotstar_Watch_Time,Zee5_Watch_Time
rodneynorris,1,7,33,5
daviscourtney,37,16,4,3
daniel65,38,27,44,10
jacqueline69,27,38,65,3
whart,24,57,73,6
monica38,16,2,55,0
justinford,33,59,68,6
brittany80,23,27,8,10
edwardsjohn,39,20,15,9
mollymiller,32,19,52,10
vincent39,25,44,37,17
turnerkathleen,8,12,53,12
scottleonard,43,47,22,19
tobrien,36,19,51,17
kerri85,0,19,36,6
eric01,27,50,74,19
candice82,41,20,59,14
james14,28,43,27,16
edward34,30,50,21,2
lisaaustin,18,32,79,10
dmorrison,5,52,30,9
nicole69,14,51,25,4
fwalls,1,2,31,15
crodriguez,39,54,9,14
scotthernandez,26,56,80,18
kevin78,12,45,49,15
stewartsamantha,25,15,18,20
bishopdebbie,44,0,13,13
michael62,14,11,66,14
zachary29,3,35,31,3
calderonjoann,29,8,59,16
cookenathaniel,35,38,40,14
corymiller,39,52,64,13
jacobbarnett,35,28,20,15
andreclark,28,16,31,20
rebeccapeters,17,49,66,15
amartinez,40,15,35,14
kjimenez,4,45,36,7
christopherjones,17,21,40,17
fware,5,8,19,7
cobbkyle,24,44,19,6
hdominguez,4,26,52,10
gburns,34,29,53,1
mason48,13,53,53,12
tdavid,49,37,2,18
danielmcintyre,24,30,0,11
jonesmichael,19,48,49,13
anita52,34,47,69,19
tkennedy,14,31,28,8
mary69,27,31,3,12
kellybarnes,21,42,51,5
brandi64,29,58,16,19
ggordon,34,1,50,18
regina24,36,42,3,2
greenmichael,41,27,17,14
cynthiadillon,11,3,33,12
woodangelica,20,13,58,10
arthur65,21,48,48,8
fbryant,48,60,53,8
paulmorrison,5,30,2,17
hernandezrachel,3,60,44,7
ramosbriana,41,4,5,0
andre19,15,12,2,19
joshua01,9,15,16,15
vhorton,42,7,72,6
chadrasmussen,29,44,32,11
williamsaustin,10,38,77,3
briangomez,49,52,20,9
johnsonpatricia,6,37,3,9
markmeyer,36,43,48,12
johnsonsamantha,45,12,9,18
fchen,44,53,80,7
